Carrier,Month,DayofMonth,Median,Mean
MQ,12,13,-3.0,0.486458333333
MQ,12,14,-2.0,5.56200527704
MQ,12,15,8.0,22.9366554054
MQ,12,16,0.0,25.3893581081
MQ,12,17,20.0,32.3175675676
MQ,12,18,4.0,25.9228813559
MQ,12,19,9.0,35.16057774
MQ,12,20,5.0,28.174553102
MQ,12,21,8.0,34.0363797693
MQ,12,22,15.0,33.8401360544
MQ,12,23,9.0,42.0424808836
MQ,12,24,9.0,43.7233626588
MQ,12,25,0.0,28.953326713
MQ,12,26,0.0,26.2546848382
MQ,12,27,9.0,41.7939011567
MQ,12,28,4.0,17.8339253996
MQ,12,29,-2.0,4.11839863714
MQ,12,30,-2.0,3.31771720613
MQ,12,31,-1.0,10.96812749
